"id","obligation"
1,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen."
2,"Bewilligt als geringfügige Verwendung nach Art. 35 PSMV (minor use)."
3,"Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung des Mittels Schutzhandschuhe + Schutzanzug tragen."
4,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
5,"SPe 8: Gefährlich für Bienen - Darf nur ausserhalb des Bienenfluges am Abend mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind."
6,"Die angegebene Aufwandmenge bezieht sich auf ein Baumvolumen von 10'000 m³ pro ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Baumvolumen anzupassen."
7,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen."
8,"Maximal 1 Behandlung pro Kultur."
9,"Ansetzen der Spritzbrühe: Schutzbrille oder Visier tragen."
10,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
11,"Höchstens 4 kg Kupfer-Metall je Hektar und Jahr."
12,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 2 Punkte reduziert werden."
13,"Keine Niederschläge während mindestens 6 Stunden nach der Behandlung."
14,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 1 Punkt reduziert werden."
15,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
16,"Vor und während der Freilassungen ist eine sorgfältige Befallsüberwachung dringend zu empfehlen. Auch der Nützlingsbestand sollte regelmässig kontrolliert werden. Vor der Freilassung darf während einer angemessenen Frist kein nützlingsgefährdendes Produkt eingesetzt werden."
17,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen."
18,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
19,"Maximal 2 Behandlungen pro Kultur mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält."
20,"Angabe der Konzentration der Spritzbrühe bei Behandlung von Unkrautnestern/Einzelpflanzen in Abhängigkeit der Unkrautart."
21,"Nur im Hausgarten."
22,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
23,"Bei Anwendung im Gewächshaus ist dieses vor dem Wiederbetreten gründlich zu lüften."
24,"Die Wirkungseffizienz der Nützlinge kann je nach Pflanzenart stark schwanken."
25,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 71-81 (J-M, Nachblüte) und eine Referenzbrühemenge von 1600 l/ha (Berechnungsgrundlage) oder auf ein Laubwandvolumen von 4500 m³ pro ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Laubwandvolumen anzupassen."
26,"Der Anwender ist eingehend über die Gefahr von Schäden zu informieren. Auf Verhütungsmöglichkeiten ist hinzuweisen."
27,"Keine Anwendung auf Sandböden."
28,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen."
29,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
30,"Maximal 1 Behandlung pro Kultur und Jahr."
31,"Nicht bei kaltem Wetter einsetzen."
32,"Auf den Boden zu streuen. Keine essbaren Pflanzenteile bestreuen."
33,"SPe 1 - Zum Schutz von Bodenorganismen maximal 3 Behandlungen pro Parzelle und Jahr mit Difenoconazol-haltigen Produkten."
34,"Maximal 1 Behandlung pro Parzelle und Jahr."
35,"Spe 3: Zum Schutz von Gewässerorganismen muss sichergestellt werden, dass bei der Anwendung kein Sprühnebel in Oberflächengewässer gelangt."
36,"Zum Schutz von Dritten eine unbehandelte Pufferzone von 3 m zu Wohnflächen und öffentlichen Anlagen einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
37,"Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose)  tragen."
38,"Nur in einem Spritztank bei laufendem Rührwerk anwenden."
39,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
40,"Maximal 2 Behandlungen pro Parzelle und Jahr."
41,"Das Zeitintervall zwischen zwei aufeinanderfolgenden Behandlungen beträgt mindestens 14 Tage."
42,"Einzelpflanzenbehandlung."
43,"Mittel ist giftig für Haustiere. Haustiere von Produktpackungen fernhalten."
44,"Zum Schutz von wildlebenden Säugern und Vögeln Produkt nicht in Häufchen auslegen. Verschüttetes Granulat sofort zusammenkehren und entfernen."
45,"Nachfolgearbeiten in behandelten Kulturen: Schutzhandschuhe + Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) tragen."
46,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 100 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle."
47,"Behandlungen im Abstand von 7-14 Tagen."
48,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene unbehandelte Pufferzone von mindestens 6 m zu Oberflächengewässern einhalten. Ausnahmen sind in den Weisungen der Zulassungsstelle festgelegt."
49,"Die angegebene Aufwandmenge bezieht sich auf Stadium ""50 - 90% der Blütenstände mit sichtbaren Früchten"" sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen."
50,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 3 Punkte reduziert werden."
51,"Die angegebene Aufwandmenge bezieht sich auf Stadium ""Vollblüte bis Beginn Rotfärbung der Früchte"", 4 Pflanzen pro m² sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen."
52,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 50 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
53,"Zum Schutz von wildlebenden Säugern und Vögeln nicht mehr als 700 g des Wirkstoffes Metaldehyd pro ha auf derselben Parzelle innerhalb eines Jahres anwenden."
54,"Maximal 2 Behandlungen pro Kultur."
55,"Für Sommerhimbeeren bezieht sich die angegebene Aufwandmenge auf Stadium ""Erste Blüten bis etwa 50% der Blüten offen"" sowie eine Referenzbrühmenge  von 1000 l/ha. Für Herbsthimbeeren bezieht sich die Aufwandmenge auf eine Heckenhöhe von 150 - 170 cm sowie eine Referenzbrühmenge  von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen."
56,"Behandlung spätestens bis Ende August. Es dürfen keine grünen Pflanzenteile und keine Reben mit niederen Schnittsystemen (Gobelets und tiefe Cordons usw.) behandelt werden."
57,"Im Spritztank bei laufendem Rührwerk anwenden. Bei Spritzgeräten ohne Rührwerk Brühe regelmässig schütteln/rühren."
58,"Nur gegen junge Larvenstadien."
59,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (A2) tragen."
60,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle."
61,"Splitbehandlung möglich (angegebene Aufwandmenge entspricht total bewilligter Menge)."
62,"Bei der Anwendung des Mittels Schutzhandschuhe tragen."
63,"Beweidung oder Schnitt (Grünfutter oder Konservierung) frühestens 3 Wochen nach der Behandlung. Ausnahme: Für nicht laktierende Tiere beträgt die Wartefrist 2 Wochen."
64,"Bei Verwendung eines Handspritzgeräts sind bei der Applikation des Mittels Schutzhandschuhe zu tragen."
65,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 3 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
66,"Für Brombeeren bezieht sich die angegebene Aufwandmenge auf Stadium ""Erste Blüten bis etwa 50% der Blüten offen"" sowie eine Referenzbrühmenge von 1000 l/ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Stadium der zu behandelnden Kultur anzupassen."
67,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine)."
68,"SPe 3: Zum Schutz von Nichtzielpflanzen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Biotopen (gemäss Art. 18a und 18b NHG) einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden."
69,"Nachfolgearbeiten in behandelten Kulturen: Arbeitskleidung (mindestens langärmliges Hemd + lange Hose) tragen."
70,"Befüllen der Maschinen mit dem Granulat: Schutzhandschuhe tragen. Ausbringen des Granulats: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
71,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten."
72,"Die Wirksamkeit dieses Präparates ist stark abhängig von den Anwendungsbedingungen (z.B. Temperatur, Feuchtigkeit, Kultur, Substrat etc.)."
73,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 50 m zu Oberflächengewässern einhalten. Zum Schutz vor den Folgen einer Abschwemmung eine mit einer geschlossenen Pflanzendecke bewachsene Pufferzone von mindestens 6 m einhalten. Reduktion der Distanz aufgrund von Drift und Ausnahmen gemäss den Weisungen der Zulassungsstelle."
74,"Behandlung bis spätestens 2 Wochen vor der Saat oder Pflanzung."
75,"Behandlungen im Abstand von mindestens 7 Tagen."
76,"Behandlungen im Abstand von 7-10 Tagen."
