"PC1","PC2","UMAP1","UMAP2","HC","GMM","DBSCAN","uncertainty","obligation","id","count"
-0.0278735509911559,-0.0388760773967337,2.49144586792624,1.25105595143562,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 00-10 (B-C) und eine Referenzbrühmenge von 1000 l/ha (Berechnungsgrundlage).",194,21
-0.0163554386468103,-0.0395613195673005,2.46917757263815,1.19668042214637,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 07-10 (C-D) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",201,20
-0.00871814702195511,-0.0410316306943154,2.50849565735495,1.15682708771949,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 15-51 (F) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",403,8
-0.0162880964646557,-0.0321140787593083,2.47680601349509,1.21295403989082,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 11-12 (E) und eine Referenzbrühmenge von 600 l/ha (Berechnungsgrundlage).",446,7
0.00354239770660142,-0.0971558287228286,2.4697440551821,1.22226225884681,"Q","A","N",2.669008145606e-07,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 61-69 (I) und eine Referenzbrühmenge von 1'200 l/ha (Berechnungsgrundlage). Die Brühemenge muss an das Entwicklungsstadium der Kultur angepasst werden.",491,6
-0.0304114497392019,-0.0402901175772775,2.39557966461813,1.18203246148353,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 01-10 (B-D) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",538,5
-0.00618524409573484,-0.026445056333312,2.40592798462546,1.1739088252378,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 55-59 (H) und eine Referenzbrühmenge von 1000 l/ha (Berechnungsgrundlage).",608,4
0.00223318636863643,-0.02023415166395,2.42069658508932,1.19850164206748,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 55 (G) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",721,3
-0.0265975108737341,-0.0324803719102635,2.42171987763083,1.19200872929816,"Q","A","N",0,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 03-11 (B-D) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",880,2
-0.239360746160456,0.200252122198116,0.0871079849306335,1.96561419518714,"Q","B","M",1.84297022087776e-14,"Als Zusatz zu den durch die Firma zu bestimmenden Herbiziden.",100,58
-0.269269441044882,0.130616360058598,0.0342825340334167,2.04967569859748,"Q","B","M",0,"Als Zusatz zu den durch die Firma zu bestimmenden Fungiziden und Insektiziden.",154,30
