Subject,Predicate,Object
Alaxon Gold,beinhaltet,Rapsöl
Alaxon Gold,beinhaltet,Pyrethrine
Sanoplant Spray Gold,beinhaltet,Rapsöl
Sanoplant Spray Gold,beinhaltet,Pyrethrine
Aerofleur Natura Spray,beinhaltet,Rapsöl
Aerofleur Natura Spray,beinhaltet,Pyrethrine
Pyrethrum FS,beinhaltet,Pyrethrine
Piretro Verde,beinhaltet,Pyrethrine
Coral Extra,beinhaltet,Difenoconazol
Coral Extra,beinhaltet,Fludioxonil
Dynali,beinhaltet,Difenoconazol
Dynali,beinhaltet,Cyflufenamid
Lumino,beinhaltet,Difenoconazol
Divo,beinhaltet,Difenoconazol
