"primaryKey","Name","locatedInCity","UID"
"11959","MR Personal und Service GmbH","Cazis","CHE-114.587.724"
"10993","Regaber Holding AG","Zug","CHE-102.135.350"
"10445","Hans Müller Gärtnerei AG","Kradolf","CHE-106.018.393"
"10989","Seydoux Grains Sàrl","Cheyres","CHE-109.402.150"
"11401","Amstutz-Produkte AG","Eschenbach","CHE-105.930.384"
"11947","KRONI AG","Altstätten","CHE-101.828.982"
"11909","SFP Europe SA","Schaffhausen","CHE-115.339.264"
"11438","Schneider Formulations Consulting","Pfeffingen","CHE-429.885.244"
"10388","Syngenta Agro AG","Stein","CHE-105.974.192"
"12015","Westland Schweiz GmbH ","Dielsdorf","CHE-291.286.446"
"11968","UFA-Samen PROFI GRÜN","Winterthur","CHE-105.976.742"
"11982","MycoSolutions AG","St. Gallen","CHE-112.155.874"
"10310","Amreco AG","Solothurn","CHE-107.629.323"
"10859","808 Schweiz AG","Zürich","CHE-105.134.677"
"11811","Maschinenring Graubünden","Cazis","CHE-115.365.801"
"11777","Helm Swiss GmbH","Zürich","CHE-113.729.051"
"11356","Belchim Crop Protection Switzerland GmbH","Muttenz","CHE-463.438.628"
"11902","Agrifutur Srl, Alfaniello","Lugano ","CHE-323.421.667"
"10763","ISK Biosciences (Schweiz) GmbH","Bern","CHE-111.719.627"
"10285","Koppert Deutschland GmbH ","Sissach","CHE-277.192.740"
"10038","Desinfecta AG","Deisswil b. Stettlen","CHE-115.798.790"
"10035","Coop Genossenschaft","Wangen bei Olten","CHE-302.816.540"
"11257","Linde Gas Schweiz AG","Dagmersellen","CHE-105.877.011"
"10712","Stähler Suisse SA","Zofingen","CHE-106.075.830"
"11262","LKC Switzerland Ltd.","Füllinsdorf","CHE-113.597.134"
"10023","Blaser Swisslube AG","Hasle-Rüegsau ","CHE-102.490.420"
"10019","BASF Schweiz AG","Basel","CHE-114.849.350"
"10011","Andermatt Biocontrol Suisse AG","Grossdietwil","CHE-188.878.752"
"10746","Andermatt Biogarten AG","Grossdietwil","CHE-110.263.547"
"10105","Hauert HBG Dünger AG","Grossaffoltern ","CHE-111.737.855"
"10096","Cemag Handels AG","Birmenstorf","CHE-107.902.424"
"11733","FMC International Switzerland Sàrl","Vernier","CHE-391.445.277"
"10095","Bio-Agrar-Counsel GmbH","Interlaken ","CHE-108.766.460"
"10093","A. Ziegler AG","Obernau","CHE-101.880.103"
"10087","Matox AG","Lyss","CHE-107.167.506"
"10073","Schneiter Agro AG","Seon","CHE-238.481.198"
"10079","Sintagro M. Eggen","Langenthal","CHE-497.974.126"
"10065","Racroc AG","Seon","CHE-103.044.804"
"10661","Bayer (Schweiz) AG","Basel","CHE-447.569.054"
"10056","Méoc SA","Charrat","CHE-105.756.525"
"10057","Migros-Genossenschafts-Bund","Zürich","CHE-105.829.940"
"10686","SCAE - Valent BioSciences Sàrl (Switzerland)","Nyon","CHE-105.463.796"
"10050","Leu + Gygax AG","Birmenstorf","CHE-105.782.362"
"11158","UPL Switzerland AG","Rotkreuz ","CHE-112.983.167"
"10051","Läubli Feuerwerk AG","Aesch","CHE-424.669.377"
"10053","Arxada AG","Visp","CHE-379.289.405"
"10054","Syngenta Agro AG ","Stein","CHE-105.974.192"
"11528","IFR Associés SA","Genève","CHE-111.693.637"
"11530","Dr. Knoell Consult Schweiz GmbH","Basel","CHE-113.694.062"
"11522","Dormfresh Limited, Perth (UK)","Basel","CHE-271.108.066"
"11524","AGFS Switzerland GmbH","Zürich","CHE-223.656.922"
"11119","Kreglinger International AG","Basel","CHE-103.907.003"
"10570","Corteva Agriscience International Sàrl","Versoix","CHE-109.747.063"
"11121","Sharda Swiss Sàrl","Bern","CHE-115.463.668"
"11131","Danstar Ferment AG","Zug ","CHE-101.456.260"
"11074","Insektol AG Pest Control","Zürich","CHE-108.006.805"
"10128","Sofbey SA","Mendrisio","CHE-463.977.641"
"11080","Novozymes Switzerland AG","Aesch","CHE-101.376.945"
"10606","COMPO Jardin AG","Allschwil","CHE-101.372.249"
"10115","Medol","Murten / Morat","CHE-106.502.654"
"10125","Renovita Wilen GmbH","Wilen b. Wil","CHE-131.755.744"
"10127","Eric Schweizer AG","Steffisburg","CHE-107.912.109"
"11596","Douglas Switzerland GmbH","Zug ","CHE-216.279.317"
"11049","ADAMA Agriculture Swiss AG","Schaffhausen","CHE-114.659.950"
"10213","Omya (Schweiz) AG","Oftringen","CHE-110.344.938"
"11065","Albaugh Europe Sàrl","Lausanne","CHE-112.103.297"
"11028","Rovagro SA","Oulens-sous-Echallens","CHE-460.068.050"
"11644","SBM Life Science SA","Freiburg","CHE-499.330.129"
"11037","GNS Consult AG","Tägerwilen ","CHE-114.285.766"
"11036","Nufarm Suisse Sàrl","Nyon","CHE-114.302.666"
