"id","obligation","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"1","Ansetzen der Spritzbrühe: Schutzhandschuhe tragen.","0.04853173345327377","-0.10077015310525894","0.006325072608888149","0.08620201051235199","0.04991096630692482","-0.10482164472341537","-0.024804629385471344","0.0637894868850708","0.08956389129161835","0.13714739680290222","-0.00407843291759491","0.08271083235740662","-0.004377446137368679","0.00017442437820136547","0.03762717917561531","0.022261669859290123","-0.06318607181310654","-0.07047014683485031","-0.11783815175294876","-0.07921964675188065","0.08921908587217331","-0.03883400559425354","-0.05025577172636986","0.15714627504348755","0.08796915411949158","-0.0057270461693406105","0.0012398273684084415","-0.002771933563053608","0.035041119903326035","0.05663472041487694","-0.10464924573898315","-0.04766971245408058","0.0178114902228117","-0.0026816907338798046","-0.04288550093770027","0.020376000553369522","-0.02355469949543476","0.003722849301993847","0.04372597113251686","-0.04070889949798584","-0.008334657177329063","-0.05788465216755867","-0.018985994160175323","0.0019893809221684933","-0.13171666860580444","0.021507402881979942","0.19395452737808228","-0.11025237292051315","0.02241252362728119","0.025084786117076874","-0.04616117849946022","-0.18998923897743225","0.04288550093770027","-0.1068904921412468","0.010338854044675827","0.0929257720708847","-0.14180231094360352","0.5589338541030884","-0.039739128202199936","0.00567855779081583","-0.04857483506202698","-0.06728067249059677","-0.13456134498119354","0.060643114149570465","0.06137583404779434","-0.13852663338184357","0.08710713684558868","0.016389157623052597","0.014147905632853508","-0.023145239800214767","0.023123688995838165","-0.12395849078893661","0.00896500889211893","-0.004382833372801542","-0.07590087503194809","0.04303635656833649","0.16274939477443695","-0.146284818649292","-0.14947429299354553","0.11982079595327377","-0.05391936004161835","-0.0013994358014315367","0.05400555953383446","-0.03743322566151619","0.2205047458410263","-0.10559746623039246","-0.09714967012405396","-0.16576647758483887","0.0052583226934075356","-0.11568310111761093","-0.03312312439084053","-0.0900811031460762","0.08568479865789413","0.08732263743877411","-0.11490727961063385","0.15076732635498047","-0.016076674684882164","-0.10999377071857452","0.018975218757987022","-0.053229741752147675"
"2","Bewilligt als geringfügige Verwendung nach Art. 35 PSMV (minor use).","-0.03453587740659714","0.1110420674085617","-0.028393235057592392","0.14130710065364838","0.03756765276193619","-0.024188295006752014","-0.157968670129776","0.13708896934986115","0.059370070695877075","0.12316916882991791","-0.10914391279220581","0.002944447100162506","-0.0642736405134201","-0.1525905728340149","-0.05863190069794655","-0.019258365035057068","-0.20848068594932556","-0.07339532673358917","0.004211531486362219","0.014196617528796196","-0.051988355815410614","-0.10360762476921082","-0.010690303519368172","-0.019047457724809647","0.08167339116334915","-0.03777855634689331","-0.022632861509919167","0.004010511562228203","-0.03443042188882828","0.017465662211179733","-0.03332316502928734","-0.0025852476246654987","-0.008106703869998455","0.0564701110124588","0.019442906603217125","-0.003298703348264098","0.06759540736675262","0.08077704161405563","-0.04368392750620842","-0.033454980701208115","-0.06690996140241623","-0.05799918249249458","-0.032347723841667175","0.05847372114658356","0.03574858605861664","0.004738796502351761","-0.0073289875872433186","-0.07676982134580612","-0.11747470498085022","0.09722771495580673","0.0427875779569149","0.07792980968952179","-0.008726240135729313","-0.08035522699356079","-0.01780838519334793","0.05222562700510025","0.005483558867126703","0.6723687052726746","-0.10629668086767197","-0.14120164513587952","-0.15322329103946686","-0.10914391279220581","0.13466355204582214","0.000993565539829433","-0.15375055372714996","-0.0012728513684123755","-0.03514223173260689","-0.045687537640333176","0.017386572435498238","0.02002289891242981","-0.030396843329072","-0.037646740674972534","-0.07471349090337753","0.1094602718949318","0.09337867796421051","0.06142640486359596","0.16693218052387238","-0.025994177907705307","0.019535178318619728","-0.005822985898703337","-0.0784570723772049","0.08394063264131546","0.09870406240224838","0.06553907692432404","-0.006913765799254179","-0.023687392473220825","-0.030924107879400253","-0.18928822875022888","-0.021551968529820442","-0.0498792938888073","0.01414389070123434","-0.043657563626766205","0.04107396677136421","0.015738869085907936","-0.01681976206600666","0.019561542198061943","0.05328015610575676","-0.04360483959317207","0.05053837597370148","-0.019113365560770035"
"3","Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung des Mittels Schutzhandschuhe + Schutzanzug tragen.","-0.09339980036020279","0.01573532447218895","-0.029634663835167885","0.08276050537824631","0.01586478389799595","-0.16909882426261902","-0.06755479425191879","0.13237914443016052","0.0882684588432312","0.04985402524471283","0.016570931300520897","-0.006255291402339935","-0.07960638403892517","-0.11806789040565491","-0.04175686463713646","0.14631380140781403","0.01707700453698635","0.042557165026664734","-0.10789936780929565","-0.08742108196020126","-0.029305128380656242","-0.07927684485912323","0.003315951908007264","0.012957809492945671","0.001236494048498571","0.03693152219057083","-0.04102718085050583","-0.07037938386201859","0.07296859472990036","-0.006037562619894743","-0.11260701715946198","0.029375743120908737","0.13736926019191742","-0.007296859286725521","-0.060540392994880676","0.0070967841893434525","0.020395899191498756","-0.006943785585463047","-0.10573384910821915","0.13143761456012726","-0.050795555114746094","0.08191312849521637","-0.0013159356312826276","-0.05394968390464783","-0.05870440974831581","0.03857920318841934","0.2257789522409439","-0.22276605665683746","-0.01631201058626175","0.031847260892391205","0.02045474387705326","-0.042698394507169724","-0.04001503437757492","-0.1290837973356247","0.05630350857973099","0.0276339128613472","0.0034836619161069393","0.5562560558319092","0.012298738583922386","-0.06929662823677063","-0.042015787214040756","0.004192751832306385","-0.08770354092121124","-0.02499762736260891","0.06487143039703369","0.033612631261348724","0.09391763806343079","-0.01228696946054697","-0.0896807536482811","-0.07306274771690369","0.017759613692760468","-0.0488654188811779","-0.07838239520788193","0.0651068165898323","-0.13284991681575775","0.013875802047550678","0.18312762677669525","-0.10705199092626572","0.039803192019462585","0.14179445803165436","-0.01293427124619484","0.15544664859771729","0.03511907905340195","0.12710657715797424","0.08068913966417313","-0.0552678257226944","-0.16956959664821625","-0.21617534756660461","-0.10422739386558533","-0.11354854702949524","0.03886166214942932","-0.03417754918336868","0.044510841369628906","-0.026880688965320587","-0.08850384503602982","0.06477727741003036","0.08407864719629288","-0.009262303821742535","-0.01633554883301258","-0.050654325634241104"
"4","SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.","0.12351007014513016","-0.043398208916187286","-0.01210290752351284","0.08741346001625061","0.026288311928510666","-0.011061659082770348","-0.09029296040534973","0.16927358508110046","-0.001916989916935563","0.003731140634045005","-0.05373356491327286","0.09332671761512756","-0.02378160133957863","-0.13831894099712372","-0.11116934567689896","0.019912270829081535","-0.048643019050359726","0.08309420198202133","-0.02424437925219536","-0.031623102724552155","0.06658848375082016","-0.0903443768620491","-0.17061050236225128","0.16094359755516052","-0.014050427824258804","0.09008727967739105","-0.04717755690217018","0.02574840560555458","-0.01782977394759655","0.11733970791101456","0.02923208847641945","0.018009742721915245","0.05501905828714371","0.021454861387610435","-0.05836133658885956","-0.09317246079444885","-0.0012011316139250994","-0.0630919486284256","-0.03020906262099743","0.041135743260383606","-0.05825849622488022","0.10155387222766876","-0.008175728842616081","-0.07759229838848114","-0.004630984738469124","0.07101058214902878","0.026789654046297073","-0.1621776670217514","-0.06278342753648758","-0.06931372731924057","-0.05512189865112305","-0.04702329635620117","-0.03493967279791832","-0.04949144273996353","0.05103403329849243","0.022740352898836136","0.06005818769335747","0.624440610408783","-0.14078707993030548","0.014217541553080082","0.08849327266216278","-0.12248168140649796","-0.09435511380434036","0.023961570113897324","-0.20290206372737885","-0.043552469462156296","0.017302721738815308","-0.04224126785993576","-0.05882411450147629","0.013973298482596874","-0.035582419484853745","0.01495027169585228","-0.005231952294707298","0.050905484706163406","-0.06530299037694931","-0.03473399579524994","0.24228952825069427","-0.0204007588326931","0.06437744200229645","0.09764597564935684","0.03622516617178917","-0.04069867730140686","0.0036347287241369486","0.010181096382439137","0.1606350839138031","-0.023357389494776726","-0.07460995763540268","-0.16454297304153442","-0.03612232580780983","-0.1143573671579361","-0.0013947588158771396","0.04049299657344818","0.04524931684136391","-0.046997588127851486","-0.09245258569717407","0.043912407010793686","-0.0515996478497982","-0.0485144667327404","-0.13225141167640686","-0.03519676998257637"
"5","SPe 8: Gefährlich für Bienen - Darf nur ausserhalb des Bienenfluges am Abend mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind.","-0.01650664024055004","0.04036331549286842","-0.0016642751870676875","0.03580975905060768","0.0810730904340744","-0.06879828870296478","0.03447338938713074","0.11255202442407608","0.04506535455584526","0.10384087264537811","0.0012335125356912613","0.08102359622716904","-0.12710361182689667","-0.13452787697315216","-0.0922590047121048","0.10562270134687424","-0.02016928233206272","-0.009237037040293217","-0.006923137232661247","-0.04872799664735794","-0.028979424387216568","-0.0620669461786747","0.0485052689909935","0.019352613016963005","0.025267286226153374","0.025292033329606056","-0.07840035110712051","0.04622849076986313","-0.07389629632234573","0.0746387243270874","-0.09047717601060867","0.03407742828130722","0.16066133975982666","0.07602458447217941","0.029499122872948647","-0.01158187072724104","0.020008424296975136","0.004337014630436897","0.02836073376238346","0.04281332343816757","-0.028484473004937172","0.053504280745983124","0.017100581899285316","-0.013512182049453259","-0.03323600813746452","0.043926965445280075","0.17857858538627625","-0.15917648375034332","-0.1167096197605133","0.09948530048131943","-0.03610672801733017","0.005577487405389547","-0.09646609425544739","-0.11948134750127792","0.0922590047121048","0.16135425865650177","-0.0504603311419487","0.590774416923523","-0.08003369718790054","-0.004847433418035507","-0.12947937846183777","-0.0698871836066246","-0.04897547513246536","0.12848946452140808","-0.029400132596492767","0.01940210722386837","0.12928138673305511","-0.1176995187997818","-0.13304302096366882","-0.06959021091461182","-0.055583078414201736","-0.027247093617916107","-0.10473178327083588","0.050608813762664795","0.05221740901470184","-0.04927244409918785","0.12878644466400146","-0.07132254540920258","-0.05236589163541794","0.09582265466451645","0.0810730904340744","0.06696697324514389","0.10087116062641144","0.18847762048244476","0.035834506154060364","-0.12294600903987885","-0.11522476375102997","-0.23757682740688324","-0.005132030695676804","-0.041551198810338974","-0.04484262689948082","0.03449813649058342","-0.05013861134648323","-0.028756694868206978","0.031206706538796425","0.06379927694797516","0.04870324954390526","-0.018139980733394623","-0.08399330824613571","0.006978819612413645"
"6","Die angegebene Aufwandmenge bezieht sich auf ein Baumvolumen von 10'000 m³ pro ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Baumvolumen anzupassen.","0.0008783511584624648","0.04085059463977814","-0.024768183007836342","0.017868172377347946","-0.07379734516143799","-0.1606127917766571","-0.14801736176013947","0.2287464141845703","-0.0110104288905859","0.042689189314842224","0.09323994815349579","0.02489498257637024","-0.016737543046474457","-0.010571913793683052","-0.018407071009278297","0.02812837064266205","-0.012236158363521099","0.018533870577812195","-0.06686563789844513","0.06094832718372345","-0.012658823281526566","-0.04429531469941139","0.023500187322497368","0.10803323239088058","-0.007401924580335617","-0.04936729744076729","-0.010593047365546227","0.039075400680303574","-0.01699114218354225","0.11031562089920044","-0.18867775797843933","0.020044898614287376","0.09408527612686157","0.033897750079631805","-0.0116338599473238","0.01051908079534769","0.018079504370689392","-0.051438357681035995","-0.09619860351085663","0.06859856843948364","-0.0488600991666317","0.20879662036895752","-0.10794869810342789","0.0045806341804564","0.013567553833127022","-0.020773995667696","0.048944633454084396","-0.2047390341758728","-0.07671374082565308","0.0414634570479393","0.05837006866931915","0.03877953439950943","0.010772679932415485","-0.06251218914985657","-0.06424511224031448","-0.02920616790652275","-0.07460041344165802","0.6123573780059814","-0.11868439614772797","0.0425412543118","0.05164968967437744","-0.003420946653932333","0.0391388013958931","0.004617617465555668","-0.08127852529287338","-0.008595953695476055","0.17954818904399872","0.0927327498793602","-0.028149504214525223","0.031911224126815796","-0.07565707713365555","-0.027325306087732315","0.04924049973487854","0.09112662076950073","-0.01762514002621174","0.0439571850001812","0.07016243040561676","-0.11175268888473511","-0.0016827359795570374","0.17718125879764557","-0.046155042946338654","0.03998412936925888","0.00783515628427267","0.017086241394281387","0.16188077628612518","-0.10363751649856567","-0.12029052525758743","-0.1022849828004837","-0.1565552055835724","-0.11099188774824142","-0.03719453886151314","-0.03649714216589928","0.02364811860024929","-0.01028661523014307","-0.041864991188049316","0.11479587852954865","-0.026902642101049423","-0.023669252172112465","-0.04780343547463417","-0.09653674066066742"
"7","Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen.","0.05772872269153595","-0.08593105524778366","0.009191135875880718","0.10530636459589005","0.07436765730381012","-0.07741297781467438","-0.017345096915960312","0.023766756057739258","0.10760139673948288","0.16841956973075867","-0.001122686779126525","0.0677032545208931","0.028180265799164772","-0.048107266426086426","0.05415377765893936","0.03923610970377922","-0.0935664251446724","-0.022387534379959106","-0.09815648198127747","-0.07494141161441803","0.13019856810569763","-0.05905277281999588","-0.09753859043121338","0.12543196976184845","0.04620945826172829","-0.001337845460511744","0.042899325489997864","0.04150906950235367","0.049607861787080765","0.061568476259708405","-0.09780339896678925","-0.05516888573765755","0.058170072734355927","-0.0017667835345491767","-0.01653963141143322","0.044907473027706146","-0.010614493861794472","-0.01871328614652157","0.0015957599971443415","0.013383971527218819","-0.027319632470607758","-0.0702630952000618","-0.004316965118050575","0.00691817793995142","-0.1705380529165268","0.006967830006033182","0.20478689670562744","-0.1632116287946701","0.027915455400943756","0.03588184341788292","-0.022387534379959106","-0.20955349504947662","0.06845355033874512","-0.09135967493057251","-0.03144626319408417","0.04133252799510956","-0.13584786653518677","0.49784401059150696","-0.047930728644132614","0.0233916062861681","-0.08315054327249527","-0.05450685694813728","-0.1261381357908249","0.10707177221775055","0.041751813143491745","-0.12604986131191254","0.10698350518941879","0.008291883394122124","-0.017576806247234344","-0.018205732107162476","0.012953653931617737","-0.1298454850912094","0.03738243505358696","-0.04424544423818588","-0.0927719995379448","0.05199115723371506","0.16232892870903015","-0.12066538631916046","-0.17945334315299988","0.15226611495018005","-0.03601424768567085","-0.027187226340174675","0.07154300808906555","-0.0007965007680468261","0.24327272176742554","-0.1229604110121727","-0.08681375533342361","-0.1638295203447342","0.04371582344174385","-0.12190116941928864","-0.018448475748300552","-0.06337801367044449","0.12490235269069672","0.06664401292800903","-0.0756034404039383","0.0807231143116951","0.01973942667245865","-0.09877437353134155","0.005881003104150295","-0.05715496465563774"
"8","Maximal 1 Behandlung pro Kultur.","-0.05680568143725395","0.012836641632020473","-0.02763032354414463","0.03164740651845932","0.06890843063592911","-0.0895603597164154","-0.034428466111421585","0.24947118759155273","0.11278734356164932","0.03950132057070732","0.1022811233997345","0.07349202781915665","-0.1056801974773407","-0.19137798249721527","0.08719131350517273","-0.057578194886446","-0.0911053940653801","0.006823891773819923","-0.05711468681693077","-0.07859063148498535","-0.01877214014530182","-0.044754430651664734","-0.011549115180969238","0.04429091885685921","-0.026201169937849045","0.03509797900915146","-0.07308001816272736","-0.02625267021358013","-0.04423942044377327","-0.18962694704532623","-0.001292355009354651","0.0026506956201046705","0.10928527265787125","-0.0038078604266047478","-0.002010151045396924","0.005172638688236475","0.08317422866821289","-0.15017712116241455","-0.0918264091014862","0.08198970556259155","-0.04681447148323059","0.005140450783073902","-0.06597287207841873","0.05345810949802399","0.09723401814699173","-0.02295660227537155","0.06344931572675705","-0.1765456646680832","-0.051037561148405075","-0.05737219378352165","0.012469696812331676","0.050754304975271225","0.021488821133971214","0.01698247715830803","0.04823075234889984","-0.06277980655431747","-0.08497676253318787","0.5867002010345459","0.021875079721212387","-0.04884876683354378","0.02703806199133396","-0.01981503702700138","-0.004387247376143932","-0.0016544718528166413","-0.007802411913871765","-0.10078759491443634","0.12071850895881653","-0.0016319401329383254","-0.00580030819401145","0.038291044533252716","-0.10428966581821442","-0.005758463405072689","-0.14605703949928284","0.025480154901742935","0.059483736753463745","0.0698869526386261","0.1765456646680832","-0.12401457875967026","-0.06736339628696442","0.05193882808089256","0.025673283264040947","0.17942972481250763","-0.011935372836887836","0.029098104685544968","0.11937948316335678","-0.0929594337940216","-0.19323201477527618","-0.173146590590477","-0.0564451739192009","0.020355798304080963","-0.010770161636173725","0.040454089641571045","-0.019583281129598618","0.051166314631700516","-0.043157897889614105","0.041046351194381714","0.08626428991556168","0.03808503970503807","-0.09579198807477951","0.06293430924415588"
"9","Ansetzen der Spritzbrühe: Schutzbrille oder Visier tragen.","0.08173903822898865","-0.09922637045383453","0.011417168192565441","0.12675029039382935","0.1057128980755806","-0.07218455523252487","-0.0020201923325657845","0.031468432396650314","0.10553758591413498","0.1242959275841713","-0.006574185099452734","0.04943787306547165","0.041176311671733856","-0.03536911681294441","0.05596822872757912","0.04141736775636673","-0.060657814145088196","-0.04051889479160309","-0.09764856100082397","-0.05522315576672554","0.15190750360488892","-0.033024322241544724","-0.14077521860599518","0.08883915841579437","0.0479477234184742","0.02027040533721447","0.06043867766857147","0.039992958307266235","0.06973019242286682","0.0391821451485157","-0.08656010776758194","-0.06188499554991722","0.08467550575733185","0.006130427587777376","-0.028553877025842667","0.039401281625032425","-0.030219338834285736","-0.016216322779655457","-0.049700841307640076","0.01479191705584526","-0.0377139076590538","-0.08756814897060394","-0.03203819692134857","0.005977029912173748","-0.1597088724374771","-0.034032367169857025","0.17250661551952362","-0.15322233736515045","0.055266983807086945","0.009707880206406116","-0.029737230390310287","-0.17776596546173096","0.05934298038482666","-0.07161479443311691","-0.011329512111842632","-0.010869319550693035","-0.14322958886623383","0.530492901802063","-0.04658905789256096","-0.006738539785146713","-0.07954764366149902","-0.061139922589063644","-0.11307598650455475","0.10264494270086288","0.011460996232926846","-0.13183432817459106","0.13569118082523346","0.0012066368944942951","-0.01824336312711239","-0.009422998875379562","0.016621731221675873","-0.12149094045162201","0.023579411208629608","-0.04130779579281807","-0.07275431603193283","0.04483594372868538","0.16023480892181396","-0.13244791328907013","-0.16470524668693542","0.13455165922641754","-0.013082629069685936","-0.030000198632478714","0.0656541958451271","-0.00316930515691638","0.25981178879737854","-0.12946762144565582","-0.07179009914398193","-0.16488055884838104","0.046019297093153","-0.1430542767047882","-0.0278964601457119","-0.004569058772176504","0.1283280998468399","0.05040208622813225","-0.045098911970853806","0.06131523475050926","0.011351426132023335","-0.07275431603193283","-0.0022502888459712267","-0.08362363278865814"
"10","Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.","0.07076631486415863","-0.051864560693502426","-0.0028511101845651865","0.012309189885854721","0.006264086812734604","-0.1334187090396881","-0.07864972949028015","0.04992828518152237","0.0941399410367012","0.1445753425359726","-0.005229676607996225","-0.08874602615833282","0.026301095262169838","0.01818717271089554","0.00461306469514966","0.05435406044125557","-0.07127343118190765","0.00042428093729540706","-0.10953795909881592","-0.0739012360572815","0.09026739001274109","-0.061131030321121216","-0.11341051012277603","0.13581600785255432","0.09215756505727768","0.03139534965157509","-0.019616330042481422","-0.01459123007953167","0.030035344883799553","0.106218621134758","-0.04568691551685333","-0.028099067509174347","0.04543335735797882","0.013185123912990093","-0.03434586524963379","-0.023477358743548393","0.03531400486826897","-0.0472082756459713","-0.02214040607213974","0.018014291301369667","-0.00690951244905591","-0.036789264529943466","0.06670935451984406","-0.015409537591040134","-0.12760987877845764","0.06643274426460266","0.24655260145664215","-0.1354471892118454","0.021437352523207664","-0.0059932381846010685","-0.08178465068340302","-0.09967216104269028","0.09681385010480881","-0.09662944078445435","0.022901086136698723","0.029067205265164375","-0.153703510761261","0.560229480266571","-0.07251818478107452","-0.08445855975151062","-0.05232558026909828","-0.003385603427886963","-0.16698084771633148","0.0810009241104126","0.0042442502453923225","-0.11580780893564224","0.17869070172309875","0.01098376139998436","-0.12973055243492126","-0.06408154964447021","0.005203744396567345","0.009934945032000542","-0.017334289848804474","0.04335877299308777","-0.11709865927696228","0.010805116966366768","0.2118840217590332","-0.0691988542675972","-0.06693986058235168","0.12318409979343414","0.06352832913398743","-0.025471262633800507","0.13268107175827026","0.017495645210146904","0.1251203715801239","-0.08132363110780716","-0.09197315573692322","-0.15121401846408844","-0.023880749940872192","-0.04803811013698578","-0.023465832695364952","-0.009289519861340523","0.12890072166919708","-0.026854317635297775","-0.04575606808066368","0.15102960169315338","-0.02155260741710663","-0.09699825942516327","0.0015559368766844273","-0.10455895960330963"
