"id","obligation","count"
1,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen.",1025
2,"Bewilligt als geringfügige Verwendung nach Art. 35 PSMV (minor use).",915
3,"Nachfolgearbeiten in behandelten Kulturen: bis 48 Stunden nach Ausbringung des Mittels Schutzhandschuhe + Schutzanzug tragen.",842
4,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 20 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",735
5,"SPe 8: Gefährlich für Bienen - Darf nur ausserhalb des Bienenfluges am Abend mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind.",701
6,"Die angegebene Aufwandmenge bezieht sich auf ein Baumvolumen von 10'000 m³ pro ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Baumvolumen anzupassen.",630
7,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen.",545
8,"Maximal 1 Behandlung pro Kultur.",541
9,"Ansetzen der Spritzbrühe: Schutzbrille oder Visier tragen.",468
10,"Ansetzen der Spritzbrühe: Schutzhandschuhe tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",443
11,"Höchstens 4 kg Kupfer-Metall je Hektar und Jahr.",422
12,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 2 Punkte reduziert werden.",328
13,"Keine Niederschläge während mindestens 6 Stunden nach der Behandlung.",320
14,"SPe 3: Zum Schutz von Gewässerorganismen muss das Abschwemmungsrisiko gemäss den Weisungen der Zulassungsstelle um 1 Punkt reduziert werden.",314
15,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 6 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",312
16,"Vor und während der Freilassungen ist eine sorgfältige Befallsüberwachung dringend zu empfehlen. Auch der Nützlingsbestand sollte regelmässig kontrolliert werden. Vor der Freilassung darf während einer angemessenen Frist kein nützlingsgefährdendes Produkt eingesetzt werden.",298
17,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen.",249
18,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",223
19,"Maximal 2 Behandlungen pro Kultur mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",214
20,"Angabe der Konzentration der Spritzbrühe bei Behandlung von Unkrautnestern/Einzelpflanzen in Abhängigkeit der Unkrautart.",213
21,"Nur im Hausgarten.",209
22,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",207
23,"Bei Anwendung im Gewächshaus ist dieses vor dem Wiederbetreten gründlich zu lüften.",205
24,"Die Wirkungseffizienz der Nützlinge kann je nach Pflanzenart stark schwanken.",196
25,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 71-81 (J-M, Nachblüte) und eine Referenzbrühemenge von 1600 l/ha (Berechnungsgrundlage) oder auf ein Laubwandvolumen von 4500 m³ pro ha. Die Aufwandmenge ist gemäss den Weisungen der Zulassungsstelle an das Laubwandvolumen anzupassen.",192
26,"Der Anwender ist eingehend über die Gefahr von Schäden zu informieren. Auf Verhütungsmöglichkeiten ist hinzuweisen.",191
27,"Keine Anwendung auf Sandböden.",190
28,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen.",189
29,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",186
30,"Maximal 1 Behandlung pro Kultur und Jahr.",183
31,"Nicht bei kaltem Wetter einsetzen.",170
32,"Auf den Boden zu streuen. Keine essbaren Pflanzenteile bestreuen.",168
33,"SPe 1 - Zum Schutz von Bodenorganismen maximal 3 Behandlungen pro Parzelle und Jahr mit Difenoconazol-haltigen Produkten.",168
34,"Maximal 1 Behandlung pro Parzelle und Jahr.",158
35,"Spe 3: Zum Schutz von Gewässerorganismen muss sichergestellt werden, dass bei der Anwendung kein Sprühnebel in Oberflächengewässer gelangt.",148
